food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Apple juice liking,T2D,-0.344225899,Apple juice liking_T2DP,2.71E-07,apple juice,Fruit,<0.0001,<0.0001
Apples liking,T2D,-0.153086541,Apples liking_T2DP,0.346297201,apples,Fruit,>0.05,>0.05
Avocado liking,T2D,-0.330675182,Avocado liking_T2DP,4.83E-10,avocados,Fruit,<0.0001,<0.0001
Banana liking,T2D,-0.235222186,Banana liking_T2DP,0.004815243,bananas,Fruit,<0.01,<0.01
Cherry liking,T2D,-0.334326591,Cherry liking_T2DP,0.000112247,cherries,Fruit,<0.001,<0.001
Dried fruit liking,T2D,-0.56569248,Dried fruit liking_T2DP,1.75E-11,dried fruit,Fruit,<0.0001,<0.0001
Grapefruit liking,T2D,-0.54448613,Grapefruit liking_T2DP,2.10E-28,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,T2D,-0.128767747,Kiwi liking_T2DP,0.10518888,kiwi fruit,Fruit,>0.05,>0.05
Lemon liking,T2D,-0.146420852,Lemon liking_T2DP,0.103874385,lemons,Fruit,>0.05,>0.05
Orange juice liking,T2D,-0.412403496,Orange juice liking_T2DP,2.60E-08,orange juice,Fruit,<0.0001,<0.0001
Apple juice liking,Stroke,0.061779706,Apple juice liking_StrokeP,0.963241916,apple juice,Fruit,>0.05,>0.05
Apples liking,Stroke,-0.28203786,Apples liking_StrokeP,0.375802417,apples,Fruit,>0.05,>0.05
Avocado liking,Stroke,-0.331173498,Avocado liking_StrokeP,0.006296189,avocados,Fruit,<0.01,<0.01
Banana liking,Stroke,-0.213827222,Banana liking_StrokeP,0.239519965,bananas,Fruit,>0.05,>0.05
Cherry liking,Stroke,-0.335898174,Cherry liking_StrokeP,0.104110429,cherries,Fruit,>0.05,>0.05
Dried fruit liking,Stroke,-0.233125983,Dried fruit liking_StrokeP,0.260041009,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,Stroke,-0.659768485,Grapefruit liking_StrokeP,6.25E-12,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,Stroke,-0.164257667,Kiwi liking_StrokeP,0.351060751,kiwi fruit,Fruit,>0.05,>0.05
Lemon liking,Stroke,-0.264740216,Lemon liking_StrokeP,0.179284462,lemons,Fruit,>0.05,>0.05
Orange juice liking,Stroke,-0.029834832,Orange juice liking_StrokeP,0.860023831,orange juice,Fruit,>0.05,>0.05
Apple juice liking,MI,-0.039122908,Apple juice liking_MIP,0.765518467,apple juice,Fruit,>0.05,>0.05
Apples liking,MI,-0.448546126,Apples liking_MIP,0.027136997,apples,Fruit,<0.05,<0.05
Avocado liking,MI,-0.266117447,Avocado liking_MIP,0.000988123,avocados,Fruit,<0.001,<0.001
Banana liking,MI,-0.093027574,Banana liking_MIP,0.497755571,bananas,Fruit,>0.05,>0.05
Cherry liking,MI,-0.273443734,Cherry liking_MIP,0.047640279,cherries,Fruit,<0.05,<0.05
Dried fruit liking,MI,-0.219512625,Dried fruit liking_MIP,0.129109026,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,MI,-0.677442367,Grapefruit liking_MIP,4.07E-25,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,MI,-0.259474079,Kiwi liking_MIP,0.020331068,kiwi fruit,Fruit,<0.05,<0.05
Lemon liking,MI,-0.244505514,Lemon liking_MIP,0.055969844,lemons,Fruit,>0.05,>0.05
Orange juice liking,MI,-0.023830162,Orange juice liking_MIP,0.881884677,orange juice,Fruit,>0.05,>0.05
Apple juice liking,IHD,-0.089794788,Apple juice liking_IHDP,0.209693375,apple juice,Fruit,>0.05,>0.05
Apples liking,IHD,-0.412695419,Apples liking_IHDP,0.001231957,apples,Fruit,<0.01,<0.01
Avocado liking,IHD,-0.197811237,Avocado liking_IHDP,8.68E-05,avocados,Fruit,<0.0001,<0.0001
Banana liking,IHD,-0.007504169,Banana liking_IHDP,0.954378088,bananas,Fruit,>0.05,>0.05
Cherry liking,IHD,-0.103518664,Cherry liking_IHDP,0.3146657,cherries,Fruit,>0.05,>0.05
Dried fruit liking,IHD,-0.154597624,Dried fruit liking_IHDP,0.104579185,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,IHD,-0.627909149,Grapefruit liking_IHDP,1.67E-50,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,IHD,-0.201772011,Kiwi liking_IHDP,0.005659945,kiwi fruit,Fruit,<0.01,<0.01
Lemon liking,IHD,-0.181325564,Lemon liking_IHDP,0.032938641,lemons,Fruit,<0.05,<0.05
Orange juice liking,IHD,-0.077472992,Orange juice liking_IHDP,0.349984316,orange juice,Fruit,>0.05,>0.05
Apple juice liking,HF,0.11981326,Apple juice liking_HFP,0.710592053,apple juice,Fruit,>0.05,>0.05
Apples liking,HF,-0.481046419,Apples liking_HFP,0.060047327,apples,Fruit,>0.05,>0.05
Avocado liking,HF,-0.258990931,Avocado liking_HFP,0.017953288,avocados,Fruit,<0.05,<0.05
Banana liking,HF,-0.247651746,Banana liking_HFP,0.112280943,bananas,Fruit,>0.05,>0.05
Cherry liking,HF,0.109337737,Cherry liking_HFP,0.932761307,cherries,Fruit,>0.05,>0.05
Dried fruit liking,HF,-0.345824987,Dried fruit liking_HFP,0.057413795,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,HF,-0.546531604,Grapefruit liking_HFP,5.11E-10,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,HF,-0.319351154,Kiwi liking_HFP,0.035937895,kiwi fruit,Fruit,<0.05,<0.05
Lemon liking,HF,-0.277327959,Lemon liking_HFP,0.068565376,lemons,Fruit,>0.05,>0.05
Orange juice liking,HF,0.065365127,Orange juice liking_HFP,0.932761307,orange juice,Fruit,>0.05,>0.05
Apple juice liking,CVD,-0.047005175,Apple juice liking_CVDP,0.455877295,apple juice,Fruit,>0.05,>0.05
Apples liking,CVD,-0.412631608,Apples liking_CVDP,0.000344441,apples,Fruit,<0.001,<0.001
Avocado liking,CVD,-0.226645028,Avocado liking_CVDP,5.04E-07,avocados,Fruit,<0.0001,<0.0001
Banana liking,CVD,-0.019562751,Banana liking_CVDP,0.821056475,bananas,Fruit,>0.05,>0.05
Cherry liking,CVD,-0.127120971,Cherry liking_CVDP,0.149579807,cherries,Fruit,>0.05,>0.05
Dried fruit liking,CVD,-0.162522559,Dried fruit liking_CVDP,0.051950364,dried fruit,Fruit,>0.05,>0.05
Grapefruit liking,CVD,-0.628019727,Grapefruit liking_CVDP,6.17E-59,grapefruit,Fruit,<0.0001,<0.0001
Kiwi liking,CVD,-0.201705522,Kiwi liking_CVDP,0.002251086,kiwi fruit,Fruit,<0.01,<0.01
Lemon liking,CVD,-0.186954652,Lemon liking_CVDP,0.013604382,lemons,Fruit,<0.05,<0.05
Orange juice liking,CVD,-0.058069598,Orange juice liking_CVDP,0.411373465,orange juice,Fruit,>0.05,>0.05
Cereal bar liking,T2D,-0.214250094,Cereal bar liking_T2DP,0.00333987,cereal/granola bar,Grain,<0.01,<0.01
Croissant liking,T2D,-0.093328042,Croissant liking_T2DP,0.235501999,croissant,Grain,>0.05,>0.05
Pasta liking,T2D,-0.591098169,Pasta liking_T2DP,1.52E-12,pasta,Grain,<0.0001,<0.0001
Porridge liking,T2D,-0.151922746,Porridge liking_T2DP,0.019912538,porridge,Grain,<0.05,<0.05
Total carbohydrate liking,T2D,-0.439885665,Total carbohydrate liking_T2DP,0.030099472,Total carbohydrate,Grain,<0.05,<0.05
Total whole food liking,T2D,-0.536170459,Total whole food liking_T2DP,0.002320957,Total whole food,Grain,<0.01,<0.01
wholemeal bread liking,T2D,-0.255900996,wholemeal bread liking_T2DP,0.035399838,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,Stroke,-0.173409671,Cereal bar liking_StrokeP,0.258666412,cereal/granola bar,Grain,>0.05,>0.05
Croissant liking,Stroke,-0.288244016,Croissant liking_StrokeP,0.066724593,croissant,Grain,>0.05,>0.05
Pasta liking,Stroke,-0.490928424,Pasta liking_StrokeP,0.006296189,pasta,Grain,<0.01,<0.01
Porridge liking,Stroke,-0.103273359,Porridge liking_StrokeP,0.467517907,porridge,Grain,>0.05,>0.05
Total carbohydrate liking,Stroke,-0.684353705,Total carbohydrate liking_StrokeP,0.117590503,Total carbohydrate,Grain,>0.05,>0.05
Total whole food liking,Stroke,-0.460272229,Total whole food liking_StrokeP,0.239519965,Total whole food,Grain,>0.05,>0.05
wholemeal bread liking,Stroke,-0.569971025,wholemeal bread liking_StrokeP,0.018074627,wholemeal bread,Grain,<0.05,<0.05
Cereal bar liking,MI,-0.145434177,Cereal bar liking_MIP,0.194402798,cereal/granola bar,Grain,>0.05,>0.05
