ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000182247	UBE2E2	3	23244511	23633284	1	protein_coding	7325	UBE2E2	0.924393312463155	0.269754486	6	4.869	0	NA	NA	NA	NA	4.31501455369e-06	rs9849679	1
ENSG00000170142	UBE2E1	3	23847394	23932807	1	protein_coding	7324	UBE2E1	0.872957997407213	-0.352973046	2	8.637	0	NA	NA	NA	NA	NA	rs9849679	1
ENSG00000151090	THRB	3	24158651	24536773	-1	protein_coding	7068	THRB	0.994541861187431	-1.119632523	1	5.784	0	NA	NA	NA	NA	NA	rs9849679	1
ENSG00000165006	UBAP1	9	34179003	34252521	1	protein_coding	51271	UBAP1	0.952984527092159	0.167412904	23	15.85	0	NA	NA	NA	NA	NA	rs17350373	2
ENSG00000186638	KIF24	9	34252379	34329198	-1	protein_coding	347240	KIF24	7.56461062195694e-14	0.068934562	13	15.85	0	NA	NA	NA	NA	7.38440665437e-07	rs17350373	2
ENSG00000164978	NUDT2	9	34329504	34343709	1	protein_coding	318	NUDT2	0.00236774773837517	-0.593185612	3	5.367	0	NA	NA	NA	NA	NA	rs17350373	2
ENSG00000164976	KIAA1161	9	34366668	34376851	-1	protein_coding	57462	KIAA1161	5.13052574184938e-10	NA	2	7.397	0	NA	NA	NA	NA	NA	rs17350373	2
ENSG00000164972	C9orf24	9	34379017	34397830	-1	protein_coding	84688	C9orf24	1.68680241907127e-05	-0.061811084	1	7.397	0	NA	NA	NA	NA	NA	rs17350373	2
ENSG00000234278	PRR20E	13	57741331	57744352	1	protein_coding	729250	PRR20E	NA	-1.25429667	2	2.908	0	NA	NA	NA	NA	NA	rs61957652	3
ENSG00000140386	SCAPER	15	76640526	77197785	-1	protein_coding	49855	SCAPER	0.0392828983920439	0.499724235	3	9.275	0	NA	NA	NA	NA	NA	rs8041398	4
ENSG00000173517	PEAK1	15	77400471	77712486	-1	protein_coding	79834	PEAK1	0.760544632953527	NA	1	2.403	0	NA	NA	NA	NA	8.88098851728e-06	rs8041398	4
ENSG00000167202	TBC1D2B	15	78276378	78370066	-1	protein_coding	23102	TBC1D2B	6.50996889622544e-05	-0.109963236	1	7.136	0	NA	NA	NA	NA	NA	rs8041398	4
ENSG00000183476	SH2D7	15	78370150	78397251	1	protein_coding	646892	SH2D7	0.0014209813173193	-0.975171637	1	7.136	0	NA	NA	NA	NA	NA	rs8041398	4
ENSG00000140694	PARN	16	14529558	14726585	-1	protein_coding	5073	PARN	0.387183623172132	-0.956619677	1	7.318	0	NA	NA	NA	NA	7.72925420156e-06	rs78235389	5
ENSG00000156968	MPV17L	16	15489611	15507125	1	protein_coding	255027	MPV17L	0.000500982038571006	-0.394011201	1	13.04	0	NA	NA	NA	NA	NA	rs78235389	5
ENSG00000261130	RP11-1021N1.1	16	15489611	15609205	1	protein_coding	NA	NA	NA	NA	1	13.04	0	NA	NA	NA	NA	NA	rs78235389	5
ENSG00000141384	TAF4B	18	23805900	23971649	1	protein_coding	6875	TAF4B	0.879312141538273	0.161808075	1	2.014	0	NA	NA	NA	NA	NA	rs1652343	6
