ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000012223	LTF	3	46477136	46526724	-1	protein_coding	4057	LTF	1.76023213454946e-13	0.07973394	2	2.446	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000163825	RTP3	3	46538981	46542439	1	protein_coding	83597	RTP3	0.181516461400941	0.738670629	1	2.446	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000163827	LRRC2	3	46556913	46621589	-1	protein_coding	79442	LRRC2	4.7683181051694e-05	-1.094133106	4	7.807	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000268324	LUZPP1	3	46598888	46601178	1	protein_coding	NA	NA	NA	NA	1	0.636	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000241186	TDGF1	3	46616045	46668033	1	protein_coding	6997	TDGF1	3.98298058552725e-06	1.215359656	2	7.807	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000206549	PRSS50	3	46753605	46854064	-1	protein_coding	29122	PRSS50	2.62070748435681e-05	-0.326074182	1	1.128	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000188086	PRSS45	3	46783582	46854048	-1	protein_coding	729756	PRSS45	8.77664623875441e-05	0.085454159	1	1.128	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000181555	SETD2	3	47057919	47205457	-1	protein_coding	29072	SETD2	0.999992944074178	NA	1	11.06	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000088727	KIF9	3	47269516	47324941	-1	protein_coding	64147	KIF9	2.17357320878688e-11	-0.884596839	1	7.246	0	NA	NA	NA	NA	NA	rs6765990	2
ENSG00000114648	KLHL18	3	47324407	47388306	1	protein_coding	23276	KLHL18	0.984175216789434	-2.19672057	2	7.246	0	NA	NA	NA	NA	NA	rs6765990	2
